"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-212.241807000068,168.773111198875,-1.25755699763081,0.208785408271507
"2","X1st.of.Month",70.0901158902209,50.2969804465733,1.39352532235354,0.163707131432538
"3","X15th.of.Month",154.367135425335,55.2511313738235,2.79391808976548,0.00528638087607705
"4","JewishHoliday",13.4499760390207,44.2174941831223,0.304177708110707,0.76104281308083
"5","CNY15Days",7.22065767040477,62.9901180578262,0.114631594495125,0.908755428629341
"6","CNY7Days",147.174608459698,87.4253885578303,1.68343099055653,0.0925397948562945
"7","CNY",21.7734678532271,176.68294456823,0.123234689723087,0.9019409415623
"8","SuperBowl",-771.263653884736,168.574060182659,-4.57522143708843,5.22724435145372e-06
"9","Valentines",-434.392716592984,166.025418764001,-2.61642295394814,0.00899208302384992
"10","Holloween",-374.945060764916,185.11177986255,-2.02550621599189,0.043026191771437
"11","NY",-515.705639830312,198.456093084688,-2.59858808976071,0.00947022743343081
"12","MLK",1040.6088094023,166.305594419512,6.25720868281392,5.36302999790852e-10
"13","Pres.Day",1445.76921243885,168.112936881385,8.59998783709872,2.33504978774203e-17
"14","Easter",-145.606770852637,166.332445645016,-0.875396079748554,0.381525537679128
"15","Memorial",347.016462179579,166.105439584576,2.08913364335,0.0368962353376747
"16","MotherDay",-25.9501605706253,162.476968466347,-0.159715932760034,0.873130488668416
"17","FatherDay",-48.6606341767429,162.043511316695,-0.300293629663711,0.764002807103527
"18","July.4th",-270.710515515322,162.462012640358,-1.66630039303153,0.095902542513348
"19","LaborDay",136.874403617606,190.60161826215,0.718117741421019,0.472818031210421
"20","ColumbusDay",73.4166962765379,190.449732039546,0.385491202798296,0.699938695795061
"21","VeteransDay",169.318556106901,186.583660820272,0.907467220669435,0.364333570150984
"22","ThxGiving",213.246065437278,190.621287484845,1.1186896712899,0.263486118260038
"23","Xmas",-250.138905650201,188.905511641852,-1.32414826585072,0.185694339911206
"24","LongWKend",-174.336851005499,41.329892999792,-4.21817813577152,2.63934620643573e-05
"25","Jan",32.2633493655876,49.9721896999041,0.645626088417124,0.518639277499036
"26","Feb",81.7879575593414,54.0992588178468,1.51181290366145,0.130832617326855
"27","Mar",37.4757462642033,48.1376275799938,0.778512530596302,0.436413326301651
"28","Apr",99.73011693159,51.347883594323,1.94224396314975,0.0523305213564668
"29","May",62.858599275544,51.1693451158573,1.22844252028671,0.219510659341909
"30","Jun",-12.1038002083521,51.8620920840625,-0.233384341471092,0.815500940440227
"31","Jul",11.2582400548612,49.7479787096,0.226305477064312,0.821000602559537
"32","Aug",55.8132105359092,54.5524010131249,1.02311189790677,0.306451640493408
"33","Sep",52.2402175461111,51.9805999892165,1.00499450866186,0.315092759344511
"34","Oct",110.34174719508,53.9969987108014,2.04347926420968,0.0412129798232677
"35","Nov",41.4831485719566,51.8942986061403,0.799377767619509,0.424222301894821
"36","Sun",576.521152120967,35.7623990478299,16.1208746468577,2.71579957568571e-53
"37","Mon",300.257190718673,41.7216903299867,7.19666888718716,1.05761247326434e-12
"38","Tue",104.875095111716,42.8763713671019,2.4459881227772,0.0145818029947068
"39","Wed",149.44428186314,41.7670371231891,3.57804364773025,0.000359330124142723
"40","Thu",257.748560701019,38.1404354469655,6.75788196124345,2.13616793922005e-11
"41","Fri",581.028368287178,33.1563772721455,17.5238797507379,1.09340184482985e-61
"42","X2010",147.716911157029,38.9285054846632,3.79456928330387,0.000154932596855574
"43","X2011",201.919449435134,39.1293115317021,5.16031183609098,2.86231218117346e-07
"44","X2012",222.499459548,29.5835124204878,7.52106296187839,1.02964472087915e-13
"45","Casino",0.329813870422607,0.0733390300255929,4.4971125239523,7.52380193455328e-06
"46","SE",0.134047734845584,0.0784962647418875,1.70769571375609,0.0879395452250782
"47","Seg.0.3",-0.12821863251054,0.0970552431847845,-1.32108918903457,0.186711867765211
"48","FIT",0.409743302676738,0.0639374297803305,6.40850444073982,2.07282166682431e-10
"49","WS",0.0260373632966814,0.1215564096502,0.214199838343437,0.830425935236795
"50","Group",0.232772690577846,0.0486641093766716,4.78325183712149,1.92855503866218e-06
"51","FIT.ADR",-0.358254947807883,0.202533246451111,-1.76886982303106,0.0771578791367879
