Days,Avg.Checkins,Months,Avg.Checkins,Year,Avg.Checkins,Holidays,Avg.Checkins
SUN,1397.588235,JAN,1154.056452,2010,1079.292818,1st-of-month,1182.363636
MON,1175.673797,FEB,1215.831858,2011,1114.975207,15th-of-month,1317.264706
TUE,949.2566845,MAR,1159.774194,2012,1286.415094,Jewish-Holiday,1117.354839
WED,1004.31016,APR,1181.791667,2013,1117.619718,CNY,1183.035714
THU,1127.005348,MAY,1150.475806,0,0,SuperBowl,600
FRI,1514.106952,JUN,1123.95,0,0,Valentines,905.5
SAT,910.9518717,JUL,1107.564516,0,0,Halloween,897.3333333
N/A,0,AUG,1169.521277,0,0,MLK,2114
N/A,0,SEP,1162.855556,0,0,Pres-Day,2211.666667
N/A,0,OCT,1179.634409,0,0,Easter,1238
N/A,0,NOV,1140.777778,0,0,Memorial,1376.25
N/A,0,DEC,1105.322581,0,0,MotherDay,1396
N/A,0,N/A,0,0,0,FatherDay,1405.75
N/A,0,N/A,0,0,0,July-4th,896.25
N/A,0,N/A,0,0,0,LaborDay,1114
N/A,0,N/A,0,0,0,ColumbusDay,1071.333333
N/A,0,N/A,0,0,0,VeteransDay,1417.666667
N/A,0,N/A,0,0,0,ThxGiving,1300.333333
N/A,0,N/A,0,0,0,Xmas,704
N/A,0,N/A,0,0,0,LongWknd,1070.622951
N/A,0,N/A,0,0,0,None,1147.051536
