Date,checkins,Holidays,1st of Month,15th of Month,JewishHoliday,CNY15Days,CNY7Days,CNY,SuperBowl,Valentines,Holloween,NY,MLK,Pres Day,Easter,Memorial,MotherDay,FatherDay,July 4th,LaborDay,ColumbusDay,VeteransDay,ThxGiving,Xmas,LongWKend,Months,Months-INT,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Days,Sun,Mon,Tue,Wed,Thu,Fri,Year,2010,2011,2012,Casino,SE,Seg 0-3,FIT,WS,Group,FIT ADR
1/1/10,650,1st-of-month,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,JAN,1,1,0,0,0,0,0,0,0,0,0,0,FRI,0,0,0,0,0,1,2010,1,0,0,2207,804,1570,728,281,11,164.24
1/2/10,1028,LongWknd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,JAN,1,1,0,0,0,0,0,0,0,0,0,0,SAT,0,0,0,0,0,0,2010,1,0,0,1811,553,1022,869,273,13,162.38
1/3/10,944,LongWknd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,JAN,1,1,0,0,0,0,0,0,0,0,0,0,SUN,1,0,0,0,0,0,2010,1,0,0,1252,349,487,997,288,48,174.67
1/4/10,1086,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAN,1,1,0,0,0,0,0,0,0,0,0,0,MON,0,1,0,0,0,0,2010,1,0,0,885,269,279,1078,316,123,160.41
1/5/10,1071,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAN,1,1,0,0,0,0,0,0,0,0,0,0,TUE,0,0,1,0,0,0,2010,1,0,0,721,164,211,1224,263,341,118.56
1/6/10,1498,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAN,1,1,0,0,0,0,0,0,0,0,0,0,WED,0,0,0,1,0,0,2010,1,0,0,738,166,211,1364,257,719,175.7
1/7/10,977,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAN,1,1,0,0,0,0,0,0,0,0,0,0,THU,0,0,0,0,1,0,2010,1,0,0,764,112,296,1266,282,808,250.25
1/8/10,899,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAN,1,1,0,0,0,0,0,0,0,0,0,0,FRI,0,0,0,0,0,1,2010,1,0,0,1048,270,439,1111,319,677,132.1
1/9/10,801,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAN,1,1,0,0,0,0,0,0,0,0,0,0,SAT,0,0,0,0,0,0,2010,1,0,0,1198,287,494,1266,303,409,99.58
1/10/10,1020,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAN,1,1,0,0,0,0,0,0,0,0,0,0,SUN,1,0,0,0,0,0,2010,1,0,0,922,220,326,1301,216,303,170.63
1/11/10,1018,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAN,1,1,0,0,0,0,0,0,0,0,0,0,MON,0,1,0,0,0,0,2010,1,0,0,879,391,180,1057,132,256,146.41
1/12/10,958,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAN,1,1,0,0,0,0,0,0,0,0,0,0,TUE,0,0,1,0,0,0,2010,1,0,0,896,472,183,1139,173,354,112.78
