Date,ActualCheckins,Predicted-MA,Predicted-Reg
1/1/10 0:00,650,0,812.5151151
1/2/10 0:00,1028,0,641.8112136
1/3/10 0:00,944,0,1131.799437
1/4/10 0:00,1086,0,981.2612136
1/5/10 0:00,1071,0,850.6134562
1/6/10 0:00,1498,0,1025.782802
1/7/10 0:00,977,0,1079.030033
1/8/10 0:00,899,0,1448.109028
1/9/10 0:00,801,0,924.1405107
1/10/10 0:00,1020,0,1384.140412
1/11/10 0:00,1018,0,1030.908652
1/12/10 0:00,958,0,921.1329227
1/13/10 0:00,800,0,921.1220977
1/14/10 0:00,1151,0,1015.347514
1/15/10 0:00,1825,0,1638.160146
1/16/10 0:00,814,0,728.1073628
1/17/10 0:00,1029,0,1272.681115
1/18/10 0:00,1457,0,1862.393691
1/19/10 0:00,1080,0,838.2119264
1/20/10 0:00,634,0,907.990528
1/21/10 0:00,853,0,951.9534264
1/22/10 0:00,1338,1125,1378.414937
1/23/10 0:00,1181,881,849.226773
1/24/10 0:00,1495,998,1510.641591
1/25/10 0:00,583,1187,1076.550932
1/26/10 0:00,740,1036,922.1700166
1/27/10 0:00,1000,977,848.4939715
1/28/10 0:00,1341,994,1077.896352
1/29/10 0:00,1381,1354,1466.499111
1/30/10 0:00,714,932,882.3867475
1/31/10 0:00,1392,1181,1417.385201
2/1/10 0:00,1345,1019,1173.881459
2/2/10 0:00,912,926,924.4953569
2/3/10 0:00,976,811,971.6130208
2/4/10 0:00,1178,1115,1049.253112
2/5/10 0:00,1594,1515,1518.536341
2/6/10 0:00,729,903,882.5756912
2/7/10 0:00,719,1305,739.7939194
2/8/10 0:00,1831,1128,1198.631657
2/9/10 0:00,2233,911,954.2720488
2/10/10 0:00,636,870,1016.201033
2/11/10 0:00,1148,1124,1121.122126
2/12/10 0:00,1654,1438,1444.823485
2/13/10 0:00,1321,875,775.2157211
2/14/10 0:00,1255,1202,1082.131686
2/15/10 0:00,3232,1253,2630.725027
2/16/10 0:00,520,1295,986.4713211
